created_at,date,time,username,tweet,target
1582318702000,2020-02-21,23:58:22,atalayeroglu,Turkcell'in sahibi kim..Atarı kime acaba bu arkadaşın..,4
1582318672000,2020-02-21,23:57:52,sosaernestohose,Benim var dışardan gelene 50 lira yaptığınız tarife 17 yıllık müşteriniz olan bana 105 lira. Değiştireceğim az kaldo @vodafone @Turkcell hangisi daha uygunsa.,4
1582318660000,2020-02-21,23:57:40,melloleydi,@TurkcellHizmet  acaba Turkcell bana da bi kalp gönderir mi ? ,4
1582318660000,2020-02-21,23:57:40,dirmer,"Turkcell ceo dediki. Cezanın ayarını cezayı yazan arkadaşların kendi vicdanlarına bırakıyorum. Bizdeki 1 saat 15 dakikalık yoğunluk, kesinti değil. Yoğunluk, karşısında ise 27 saat kesinti. Herkes elini vicdanına koysun. Cezanın bedelini de vicdanına sorsun”",4
1582318642000,2020-02-21,23:57:22,yusufguven1903,15 günlük @TurkTelekom meceramda anladımkı ucuz etin yahnisi olmazmış keşke  bizi hakkıyla öpen @Turkcell den ayrılmasaydım nasipse yarın saat 14.26 suları itibari ile bıraktığımız yerden devam edicez @Turkcell iyiki varsın 💪,4
1582318537000,2020-02-21,23:55:37,sevinc4077,Gerekli incelemeyi yapıyorlar kendi bildiklerini okuyorlar... Bir aydır her müşteri temsilcisi farklı farklı cevaplar verdi aynı sorunla ilgili ... taahhutum bitsin @Turkcell geçiş yapicam,4
1582318509000,2020-02-21,23:55:09,nisaaaarrm,Canım Turkcell neden pahalısın ya 😂,4
1582318438000,2020-02-21,23:53:58,sokomellihesap,Turkcell bana 10k sms verdi... Bitirmelik smsbuddy arıorum full boş yapalım falan müracaat dm,4
1582318201000,2020-02-21,23:50:01,cavitdolgun,Turkcell eş gibidir. Kime gidersen git pişman olup geri döneceğin yerdir.,4
1582318151000,2020-02-21,23:49:11,elkarahani,@Turkcell bugün 8 megabit hızında bağlattığım süperonline hızınız böyle. Bir cevabınız var mı?  pic.twitter.com/6m4xS5leEj,4
1582318073000,2020-02-21,23:47:53,b_sdy7,Turkcell seni çok seviyorum ✌️,4
1582318000000,2020-02-21,23:46:40,alterinefeceris,turkcell ile salla kazan marshall 19 yaşındaymışsın ve homofobinin ne olduğuna kimsenin inanacağını düşünme :d  pic.twitter.com/cnxIIKs0aR,4
1582317900000,2020-02-21,23:45:00,birlikekofinans,"Turkcell 2019’da 1,5 milyon faturalı abone kazandı  https://www.paraborsa.net/i/turkcell-2019-4-ceyrek-kar-rakamlarini-acikladi/ …",4
1582317765000,2020-02-21,23:42:45,halktanbiri_tfn,"Osman Kavala fetö'cü teröristlere baştan beri karşı
Turkcell'in kurulmasında  Etkin
 f16'lar için güvenlik yazılımı üreten bir şirket  kurmuş
Ergenekon Balyoz sürecinde atılan iftiralara karşı çıkmak için organizasyon yapmış
AKP Saray Erdoğan neden esir aldı 
Soner Yalçın👏  https://twitter.com/gazetesozcu/status/1230747357966295042 …",4
1582317678000,2020-02-21,23:41:18,yusufmengenee,Haftalık 1GB internet 24Tl nasıl oluyor bi açıklarmısın,4
1582317509000,2020-02-21,23:38:29,sadikgokdemir,@VodafoneDestek 3-4 yıldır ısrarla sizden mahallemizdeki şebeke sorunu ile alakalı baz istasyonu talep ediyoruz ciddiye bile almadınız faturamin kesilmesine 2 gün kala @Turkcell e geçiş yapacağım bütün mahallelinin yaptığı gibi bir daha sizi asla tercih etmem☠️🖐️ @VodafoneTR,4
1582317464000,2020-02-21,23:37:44,samikavak44,🤣 sakin ol hocam sen niye kuryeyle ugraşıyorsunki şubeden geceydinya olan olmuş gerçi inşallah kısa surede hallolur,4
1582317353000,2020-02-21,23:35:53,ulker35umut,#Turkcell iki şık da işime yaramıyor 🥴 secmezsem küsmezsin di mi🙈🙈  pic.twitter.com/lPp4Jawzs2,4
